symbol_stack_unwind,num_filesystem_inputs,exit_status,perc_cpu_used,avg_size_unshared_data_area_Kb,num_waits,avg_size_unshared_text_area_Kb,max_resident_size_Kb,cpu_sec_user_mode,num_swapped,symbol_ro_data_local,avg_total_memory_used_Kb,symbol_unique_global,elapsed_real_time_sec,num_major_page_faults,symbol_ro_data_global,num_signals,num_involuntary_context_switch,symbol_text_global,FileName,num_minor_page_faults,symbol_text_local,FileSize,symbol_debug,num_socket_msg_sent,cpu_sec_kernel_mode,num_socket_msg_recv,num_filesystem_outputs
0,0,0,93%,0,80,0,43584,0.11,0,0,0,0,0.17,0,0,0,17,0,CMakeFiles/last_lib.dir/last_lib_dummy.c.o,2609,0,664,0,0,0.04,0,0
0,0,0,95%,0,1713,0,238848,35.25,0,16,0,0,39.49,0,18,0,275,398,commonTools/gtest/CMakeFiles/gtest.dir/gtest/gtest-all.cc.o,22164,14,820888,0,0,2.42,0,38656
0,256,0,95%,0,284,0,49024,0.31,0,320,0,0,0.52,0,18,0,30,398,commonTools/gtest/libgtest.so.12.17,6386,1271,1313112,0,0,0.18,0,1024
0,0,0,98%,0,164,0,29120,0.60,0,10,0,0,0.72,0,0,0,11,503,packages/zoltan/src/libzoltan.so.12.17,2418,102,1258416,0,0,0.10,0,0
0,512,0,83%,0,168,0,63040,0.58,0,0,0,0,0.83,0,0,0,65,7,packages/zoltan/src/CMakeFiles/zoltan.dir/graph/graph.c.o,2916,0,13112,0,0,0.11,0,0
0,128,0,87%,0,150,0,61504,0.40,0,0,0,0,0.58,0,0,0,50,2,packages/zoltan/src/CMakeFiles/zoltan.dir/params/free_params.c.o,2891,0,2416,0,0,0.11,0,0
0,640,0,76%,0,228,0,63232,0.50,0,0,0,0,0.82,0,0,0,50,3,packages/zoltan/src/CMakeFiles/zoltan.dir/params/set_param.c.o,2918,0,6760,0,0,0.12,0,0
0,128,0,78%,0,142,0,60736,0.36,0,0,0,0,0.63,0,0,0,63,1,packages/zoltan/src/CMakeFiles/zoltan.dir/params/print_params.c.o,2879,0,1392,0,0,0.13,0,0
0,128,0,79%,0,134,0,64192,0.76,0,0,0,0,1.11,0,0,0,68,1,packages/zoltan/src/CMakeFiles/zoltan.dir/params/assign_param_vals.c.o,2945,0,7328,0,0,0.12,0,0
0,256,0,84%,0,148,0,63744,0.63,0,0,0,0,0.88,0,0,0,68,3,packages/zoltan/src/CMakeFiles/zoltan.dir/params/key_params.c.o,2939,0,17768,0,0,0.11,0,0
0,128,0,74%,0,141,0,61888,0.37,0,0,0,0,0.69,0,0,0,57,2,packages/zoltan/src/CMakeFiles/zoltan.dir/params/bind_param.c.o,2897,0,2504,0,0,0.14,0,0
0,128,0,85%,0,128,0,62528,0.50,0,0,0,0,0.71,0,0,0,44,1,packages/zoltan/src/CMakeFiles/zoltan.dir/params/check_param.c.o,2912,0,4000,0,0,0.10,0,0
